,Cluster,id,cellType
4735,3,i708,LC
4414,20,i709,SPG
2312,18,i71,SPG
2282,20,i710,SPG
5502,10,i711,SPG
3910,2,i712,LC
917,10,i713,SPG
2425,24,i715,PTM
5519,6,i716,EC
5657,10,i717,SPG
906,24,i718,PTM
4686,11,i719,St
2,17,i72,PTM
4132,8,i720,SPC
4063,18,i725,SPG
4055,8,i726,SPC
4696,17,i727,PTM
2735,3,i728,LC
3870,1,i729,PTM
4609,8,i730,SPC
3879,8,i731,SPC
4681,1,i732,PTM
1336,16,i733,SPG
4509,1,i734,PTM
2711,16,i735,SPG
5598,1,i736,PTM
5832,20,i737,SPG
4127,20,i738,SPG
981,10,i743,SPG
190,22,i744,SPG
4889,2,i745,LC
5723,24,i746,PTM
5030,2,i747,LC
3677,12,i748,St
1834,19,i749,SPG
5711,16,i751,SPG
4797,17,i752,PTM
4770,0,i753,PTM
2733,15,i754,St
725,2,i755,LC
883,6,i756,EC
288,20,i761,SPG
3085,0,i762,PTM
5333,2,i763,LC
4741,10,i764,SPG
2529,19,i765,SPG
529,1,i766,PTM
3837,14,i767,SPG
2836,13,i768,SPG
4255,4,i769,SPC
4082,24,i77,PTM
2904,11,i770,St
4984,8,i771,SPC
5407,3,i772,LC
254,13,i773,SPG
1829,10,i774,SPG
4103,19,i779,SPG
972,10,i78,SPG
2932,16,i780,SPG
97,22,i781,SPG
2579,2,i782,LC
3816,13,i783,SPG
459,2,i784,LC
243,19,i785,SPG
4849,8,i786,SPC
2703,6,i787,EC
2952,8,i788,SPC
5240,3,i789,LC
1875,9,i79,SPG
3545,2,i790,LC
255,13,i791,SPG
171,13,i792,SPG
2148,5,i797,St
4566,6,i798,EC
4112,10,i799,SPG
64,12,i8,St
443,8,i80,SPC
2453,14,i800,SPG
2122,9,i801,SPG
3922,14,i802,SPG
2935,4,i803,SPC
5297,0,i804,PTM
3744,10,i805,SPG
3804,19,i806,SPG
5528,8,i807,SPC
3162,5,i808,St
4744,6,i809,EC
5353,22,i81,SPG
4105,3,i810,LC
5230,1,i815,PTM
5144,9,i816,SPG
2505,6,i817,EC
2102,2,i818,LC
822,11,i819,St
2964,8,i82,SPC
808,24,i820,PTM
1552,14,i821,SPG
1605,11,i822,St
2377,8,i823,SPC
4299,11,i824,St
620,0,i825,PTM
5719,22,i826,SPG
4426,6,i827,EC
5729,2,i83,LC
3283,5,i833,St
2399,0,i834,PTM
5492,8,i835,SPC
1416,8,i836,SPC
1961,12,i837,St
1889,8,i838,SPC
1575,17,i839,PTM
4392,22,i84,SPG
1479,3,i840,LC
2119,11,i841,St
2361,9,i842,SPG
2640,9,i843,SPG
2979,22,i844,SPG
5070,8,i846,SPC
17,0,i85,PTM
2238,18,i851,SPG
210,8,i853,SPC
3961,22,i854,SPG
5317,4,i855,SPC
2246,8,i856,SPC
579,10,i857,SPG
2288,13,i858,SPG
299,8,i859,SPC
5200,6,i86,EC
2051,0,i860,PTM
520,18,i861,SPG
4114,7,i863,St
4561,14,i864,SPG
289,0,i869,PTM
3763,8,i87,SPC
1514,12,i870,St
3729,1,i871,PTM
1136,15,i872,St
5562,9,i873,SPG
3613,24,i874,PTM
3421,5,i875,St
4052,15,i876,St
4773,8,i878,SPC
1577,10,i879,SPG
1571,8,i88,SPC
3599,8,i880,SPC
4268,8,i881,SPC
5294,6,i882,EC
59,9,i887,SPG
2778,8,i888,SPC
5789,8,i889,SPC
5140,14,i89,SPG
4287,12,i890,St
5626,7,i891,St
5529,2,i892,LC
3209,19,i893,SPG
4512,5,i894,St
2687,4,i895,SPC
5104,11,i896,St
3430,9,i897,SPG
863,7,i898,St
537,2,i899,LC
4159,3,i9,LC
2712,3,i90,LC
1934,10,i905,SPG
3843,12,i906,St
3402,6,i907,EC
941,11,i908,St
1489,11,i909,St
1565,3,i910,LC
2370,11,i911,St
3279,18,i912,SPG
4820,12,i913,St
384,9,i914,SPG
159,12,i915,St
4197,8,i916,SPC
5628,3,i917,LC
3230,10,i918,SPG
770,5,i923,St
1485,11,i924,St
135,8,i925,SPC
2210,9,i926,SPG
437,11,i927,St
785,7,i928,St
4634,3,i929,LC
1573,20,i930,SPG
1206,1,i931,PTM
3013,20,i932,SPG
1676,7,i933,St
2044,12,i934,St
5439,8,i935,SPC
1059,2,i936,LC
2603,0,i941,PTM
2999,10,i942,SPG
3679,10,i943,SPG
3898,2,i944,LC
5662,1,i945,PTM
2126,17,i946,PTM
4480,10,i947,SPG
1301,8,i948,SPC
2318,18,i949,SPG
4472,11,i95,St
821,8,i950,SPC
4221,10,i951,SPG
3190,8,i952,SPC
3124,0,i953,PTM
3748,2,i959,LC
4707,3,i96,LC
3355,10,i961,SPG
5619,20,i962,SPG
1663,8,i963,SPC
1974,10,i964,SPG
5329,0,i965,PTM
5225,11,i966,St
196,7,i967,St
4483,5,i968,St
1462,0,i969,PTM
1802,20,i97,SPG
3896,8,i970,SPC
4890,8,i977,SPC
3255,8,i978,SPC
5821,11,i979,St
5241,9,i98,SPG
3681,11,i980,St
1654,22,i981,SPG
5792,10,i982,SPG
5403,20,i983,SPG
2250,8,i984,SPC
2346,10,i985,SPG
5613,24,i986,PTM
711,20,i987,SPG
2718,8,i988,SPC
477,0,i989,PTM
2827,10,i99,SPG
5679,5,i995,St
1776,10,i996,SPG
2756,11,i997,St
1494,16,i998,SPG
932,11,i999,St
